"ip"	"site"	"kd"	"avg"	"stddev"
"Rrp6"	"Mcp"	"BEAF KD"	"1.93792027992422"	"0.111011632836517"
"Rrp6"	"Fab-8"	"BEAF KD"	"0.575999361679213"	"0.0906964441789143"
"Rrp6"	"polo"	"BEAF KD"	"0.705033381399979"	"0.165089746037372"
"Rrp6"	"CycB"	"BEAF KD"	"0.657265401405067"	"0.0974230639658397"
"Rrp6"	"bel"	"BEAF KD"	"0.720399877059894"	"0.0345841766387506"
"Rrp6"	"RpL32"	"BEAF KD"	"0.351484920298446"	"0.0834595766746032"
"IgG"	"scs'"	"BEAF KD"	"0.157420385226514"	"0.00883740745906869"
"IgG"	"scs"	"BEAF KD"	"0.186611409353299"	"0.0473847442533588"
"IgG"	"Mcp"	"BEAF KD"	"0.205231008684905"	"0.0155174702424636"
"IgG"	"Fab-8"	"BEAF KD"	"0.127629473996638"	"0.0774020674348844"
"IgG"	"polo"	"BEAF KD"	"0.163646007251702"	"0.0582139768748509"
"IgG"	"CycB"	"BEAF KD"	"0.123943828973523"	"0.0183837583261907"
"IgG"	"bel"	"BEAF KD"	"0.134606877981392"	"0.0278348196690426"
"IgG"	"RpL32"	"BEAF KD"	"0.116041284294727"	"0.0710936869126012"
"CTCF"	"scs'"	"BEAF KD"	"0.193475871540417"	"0.0274997781943324"
"CTCF"	"scs"	"BEAF KD"	"0.213861441684129"	"0.0125063657736761"
"CTCF"	"Mcp"	"BEAF KD"	"3.67375447047142"	"0.36353575407424"
"CTCF"	"Fab-8"	"BEAF KD"	"7.68504655624683"	"0.650425598269409"
"CTCF"	"polo"	"BEAF KD"	"0.168262793641833"	"0.0269503134823114"
"CTCF"	"CycB"	"BEAF KD"	"1.89641031623392"	"0.126959353175738"
"CTCF"	"bel"	"BEAF KD"	"0.203247891225205"	"0.0261894731500766"
"CTCF"	"RpL32"	"BEAF KD"	"0.212063671105896"	"0.0469234164492475"
"BEAF"	"scs'"	"CTCF KD"	"2.06039860671978"	"0.453787191781775"
"BEAF"	"scs"	"CTCF KD"	"0.185902524008777"	"0.0404636987741978"
"BEAF"	"Mcp"	"CTCF KD"	"0.130214217649277"	"0.0231765364875027"
"BEAF"	"Fab-8"	"CTCF KD"	"0.176106729944462"	"0.11141577763205"
"BEAF"	"polo"	"CTCF KD"	"3.26391080240987"	"0.24835017850813"
"BEAF"	"CycB"	"CTCF KD"	"1.38626565380912"	"0.299243989842192"
"BEAF"	"bel"	"CTCF KD"	"3.66836790424192"	"0.316706214761741"
"BEAF"	"RpL32"	"CTCF KD"	"0.523119247986312"	"0.19444384548499"
"CP190"	"scs'"	"CTCF KD"	"0.2238009817671"	"0.0147069002244352"
"CP190"	"scs"	"CTCF KD"	"0.194181214755215"	"0.0509950440184468"
"CP190"	"Mcp"	"CTCF KD"	"0.311144807730422"	"0.0368913561045228"
"CP190"	"Fab-8"	"CTCF KD"	"0.199469222759593"	"0.120465407092525"
"CP190"	"polo"	"CTCF KD"	"0.713507623561933"	"0.0260708482954503"
"CP190"	"CycB"	"CTCF KD"	"0.694430974403961"	"0.0957588087889253"
"CP190"	"bel"	"CTCF KD"	"3.50241114356087"	"0.250544714574692"
"CP190"	"RpL32"	"CTCF KD"	"0.208360597109048"	"0.134837017110986"
"Rrp40"	"scs'"	"CTCF KD"	"0.654393024314663"	"0.0602158169621481"
"Rrp40"	"scs"	"CTCF KD"	"0.419557704424351"	"0.0632024679964683"
"Rrp40"	"Mcp"	"CTCF KD"	"0.194621832257016"	"0.0397355090539693"
"Rrp40"	"Fab-8"	"CTCF KD"	"0.162061050755549"	"0.0482511871222472"
"Rrp40"	"polo"	"CTCF KD"	"1.05279677171289"	"0.103608104199625"
"Rrp40"	"CycB"	"CTCF KD"	"1.0064664564363"	"0.0657951570930203"
"Rrp40"	"bel"	"CTCF KD"	"2.34058479591827"	"0.0546662732099451"
"Rrp40"	"RpL32"	"CTCF KD"	"0.26774859844825"	"0.0341618690052257"
"Rrp6"	"scs'"	"CTCF KD"	"0.655475598639766"	"0.0546479058869847"
"Rrp6"	"scs"	"CTCF KD"	"0.375533614221228"	"0.0560338727497745"
"Rrp6"	"Mcp"	"CTCF KD"	"0.932910842053221"	"0.102778742571153"
"Rrp6"	"Fab-8"	"CTCF KD"	"0.113470231419723"	"0.0135317429435363"
"Rrp6"	"polo"	"CTCF KD"	"0.741500033364226"	"0.0618051689361321"
"Rrp6"	"CycB"	"CTCF KD"	"0.443017352632242"	"0.0454070577175319"
"Rrp6"	"bel"	"CTCF KD"	"0.933671187715124"	"0.0693549983139845"
"Rrp6"	"RpL32"	"CTCF KD"	"0.379439543476471"	"0.0843344641690563"
"IgG"	"scs'"	"CTCF KD"	"0.154634200542907"	"0.0208639367987706"
"IgG"	"scs"	"CTCF KD"	"0.159731414895013"	"0.0428581282341507"
"IgG"	"Mcp"	"CTCF KD"	"0.167153241781282"	"0.00665487490111443"
"IgG"	"Fab-8"	"CTCF KD"	"0.147164148184847"	"0.129972020479344"
"IgG"	"polo"	"CTCF KD"	"0.159756454797841"	"0.0248479234759454"
"IgG"	"CycB"	"CTCF KD"	"0.135241567678694"	"0.00742650360277468"
"IgG"	"bel"	"CTCF KD"	"0.173021510024926"	"0.038585444979333"
"IgG"	"RpL32"	"CTCF KD"	"0.170219223737703"	"0.107807929855817"
"CTCF"	"scs'"	"CTCF KD"	"0.268716258204204"	"0.0318216210573019"
"CTCF"	"scs"	"CTCF KD"	"0.237178398331062"	"0.0386102903786329"
"CTCF"	"Mcp"	"CTCF KD"	"0.732652444798681"	"0.0824333691561451"
"CTCF"	"Fab-8"	"CTCF KD"	"0.293766568393467"	"0.207753774572997"
"CTCF"	"polo"	"CTCF KD"	"0.239184608929054"	"0.0313323519415675"
"CTCF"	"CycB"	"CTCF KD"	"0.350338609671055"	"0.0593340860876458"
"CTCF"	"bel"	"CTCF KD"	"0.227993660419314"	"0.0303346940045778"
"CTCF"	"RpL32"	"CTCF KD"	"0.340951036262674"	"0.10248712573716"
"BEAF"	"scs'"	"GFP KD"	"2.65838045944262"	"0.112862562050612"
"BEAF"	"scs"	"GFP KD"	"0.234416559085834"	"0.0105198414347408"
"BEAF"	"Mcp"	"GFP KD"	"0.199449083744393"	"0.0143954776902878"
"BEAF"	"Fab-8"	"GFP KD"	"0.336399689080361"	"0.0912981106174519"
"BEAF"	"polo"	"GFP KD"	"4.05911482133167"	"0.397030633351083"
"BEAF"	"CycB"	"GFP KD"	"1.830896111371"	"0.103868889744663"
"BEAF"	"bel"	"GFP KD"	"4.08716995820051"	"0.354942267832384"
"BEAF"	"RpL32"	"GFP KD"	"0.0211896495304092"	"0.007088934721326"
"CP190"	"scs'"	"GFP KD"	"0.217699335790823"	"0.0119766008692666"
"CP190"	"scs"	"GFP KD"	"0.20980872080652"	"0.118007847393949"
"CP190"	"Mcp"	"GFP KD"	"1.51199216298864"	"0.107589903114606"
"CP190"	"Fab-8"	"GFP KD"	"5.76745321294527"	"0.570395344424939"
"CP190"	"polo"	"GFP KD"	"0.559420389138447"	"0.0717196559014591"
"CP190"	"CycB"	"GFP KD"	"1.21456396730326"	"0.0920480760957255"
"CP190"	"bel"	"GFP KD"	"2.44905512525162"	"0.10842582350403"
"CP190"	"RpL32"	"GFP KD"	"0.00236580505498561"	"0.000229150236501695"
"Rrp40"	"scs'"	"GFP KD"	"0.475551390182137"	"0.0315906990671591"
"Rrp40"	"scs"	"GFP KD"	"0.316588363425882"	"0.0341602561265375"
"Rrp40"	"Mcp"	"GFP KD"	"0.260716654655934"	"0.0433957889724535"
"Rrp40"	"Fab-8"	"GFP KD"	"0.648576454818462"	"0.226335398415673"
"Rrp40"	"polo"	"GFP KD"	"0.740714487459373"	"0.072949460552601"
"Rrp40"	"CycB"	"GFP KD"	"1.18268567035139"	"0.0160791062739249"
"Rrp40"	"bel"	"GFP KD"	"1.83821267903143"	"0.14141776164997"
"Rrp40"	"RpL32"	"GFP KD"	"0.00647814756153183"	"0.00086217156439804"
"Rrp6"	"scs'"	"GFP KD"	"0.909196018193679"	"0.0913099855049687"
"Rrp6"	"scs"	"GFP KD"	"0.426389109975993"	"0.0203246533655822"
"Rrp6"	"Mcp"	"GFP KD"	"1.64207393736429"	"0.180792226265942"
"Rrp6"	"Fab-8"	"GFP KD"	"0.547045728250221"	"0.108364120040299"
"Rrp6"	"polo"	"GFP KD"	"0.870345995159557"	"0.138379974176766"
"Rrp6"	"CycB"	"GFP KD"	"0.66358449414382"	"0.0485939684634621"
"Rrp6"	"bel"	"GFP KD"	"0.991958516278972"	"0.143926805514631"
"Rrp6"	"RpL32"	"GFP KD"	"0.0129546877560295"	"0.00529035947712542"
"IgG"	"scs'"	"GFP KD"	"0.199620168960875"	"0.00429677770121499"
"IgG"	"scs"	"GFP KD"	"0.229999262367087"	"0.0338962999917287"
"IgG"	"Mcp"	"GFP KD"	"0.253153116371885"	"0.0253553782298991"
"IgG"	"Fab-8"	"GFP KD"	"0.0730871958907514"	"0.0306515767015229"
"IgG"	"polo"	"GFP KD"	"0.208566665583606"	"0.0316540541838358"
"IgG"	"CycB"	"GFP KD"	"0.162328718262639"	"0.0399097417809578"
"IgG"	"bel"	"GFP KD"	"0.196834345058012"	"0.0174559568829631"
"IgG"	"RpL32"	"GFP KD"	"0.00667349745219233"	"0.00106072087315709"
"CTCF"	"scs'"	"GFP KD"	"0.193569147856103"	"0.0213239796525764"
"CTCF"	"scs"	"GFP KD"	"0.165703024942718"	"0.0377469886391336"
"CTCF"	"Mcp"	"GFP KD"	"3.19766944767827"	"0.190935624369183"
"CTCF"	"Fab-8"	"GFP KD"	"6.64901669257943"	"1.49454623704361"
"CTCF"	"polo"	"GFP KD"	"0.1855795609121"	"0.0195742297388982"
"CTCF"	"CycB"	"GFP KD"	"1.82252238391115"	"0.216610093329794"
"CTCF"	"bel"	"GFP KD"	"0.2202484791709"	"0.0378267137249713"
"CTCF"	"RpL32"	"GFP KD"	"0.00520776709780186"	"0.00163229133074676"
